00:00:39.807208 DCon10   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:40.937071 DCon20   Saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox" with version "1.19-linux"
00:00:40.948651 DCon20   Finished saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox"
00:00:41.061068 DCon14   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:41.128570 DCon04   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:41.920353 DCon14   Saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox" with version "1.19-linux"
00:00:41.935629 DCon14   Finished saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox"
00:00:42.034826 DCon17   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:42.289691 DCon03   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:42.711823 DCon01   Saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox" with version "1.19-linux"
00:00:42.727958 DCon01   Finished saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox"
00:00:42.811987 DCon03   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:42.884457 DCon10   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:43.305901 DCon04   Saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox" with version "1.19-linux"
00:00:43.317760 DCon04   Finished saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox"
00:00:43.414390 DCon02   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:43.467276 DCon02   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:43.992961 DCon18   Saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox" with version "1.19-linux"
00:00:44.006644 DCon18   Finished saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox"
